Word,Frequency
featuring,1
Upma,1
Vada,1
hearty,1
lunch,1
Thali,1
90,1
ourselves,1
immersed,1
defined,1
stole,1
show,1
absolutely,1
filling,2
everyone,1
speaks,1
variety,3
joy,1
discovering,1
#misalpav,1
#pav,1
#sev,2
#unlimited,1
#unlimitedfood,1
latest,1
rooftop,1
unfolds,1
where,2
house,1
bread,1
buns,1
Chicken,1
Wings,1
Paneer,2
Casata,1
String,1
Butter,2
Naan,1
Roti,1
Soha,1
Noodles,1
Pink,1
Ocean,1
drink,1
personal,1
adds,1
touch,1
captivating,1
ambience,1
views,1
Bailamos,1
offers,1
dine,1
Whether,1
date,1
night,1
friends,1
groovy,1
music,1
dance,1
floor,1
elevate,1
vibe,1
rendezvous,1
vibrant,2
drinks,1
encompassing,1
7th,1
Floor,1
Altus,1
Building,1
702,1
Near,1
Balewadi,1
High,1
St,1
Laxman,1
Nagar,1
Baner,1
#club,1
#party,1
#chicken,1
#noodles,1
#dance,1
Punekar,1
knows,1
famous,3
Khau,1
Galli,1
choose,1
Shev,1
Dabeli,2
Softy,1
etc,1
talking,1
Bharati,1
Vidyapeeth,1
Backgate,1
Market,1
Raju,2
Uncle,2
Chhole,2
Riche,1
Rich,1
Famous,1
Kachhi,1
Stall,1
bit,1
average,1
#cholebhature,1
#chocolate,1
#bhature,1
Pizzatoons,1
Karadi,2
unfolded,1
boasting,1
Veggie,2
Delight,2
Tandoori,2
Pizza,2
Cheese,1
Burst,1
impression,1
incredibly,1
combines,1
affordability,1
seamlessly,1
https,1
maps,1
app,1
goo,1
gl,1
i48bEjqBTTqXNBxW9,1
g_st,1
icAddress,1
Shop,1
Yewle,1
Amrutulya,1
GLOBAL,1
BUSINESS,1
HUB,1
opposite,1
Eon,1
EON,1
Free,1
Zone,1
Kharadi,1
#pizza,1
#burger,1
#cheese,1
#cheeseburst,1
#paneer,1
